age,gender
22,2
22,2
22,2
21,1
21,2
21,1
21,1
21,2
21,2
20,1
21,2
22,2
21,2
21,1
21,1
21,1
22,1
22,1
21,2
22,1
20,1
20,1
19,1
19,2
19,2
19,2
19,1
19,1
19,2
22,2
21,2
21,2
22,2
21,2
20,2
21,2
20,2
20,1
20,2
21,2
19,2
20,1
20,2
20,2
20,2
21,1
22,1
19,1
21,1
19,2
21,2
20,1
19,1
20,2
21,1
21,1
19,1
19,1
21,1
22,1
22,1
21,1
21,2
21,2
21,2
20,2
22,2
22,1
21,1
22,2
21,1
21,2
21,2
20,2
19,2
18,2
18,2
18,2
18,2
18,2
18,1
18,2
18,2
18,2
18,2
20,2
19,2
22,2
21,2
22,2
22,2
22,2
20,2
20,1
22,2
21,1
21,2
18,1
19,2
18,1
18,2
18,2
21,2
21,2
20,2
21,1
19,2
20,1
20,1
20,2
20,1
20,1
21,2
20,2
20,1
20,2
21,1
21,1
19,2
22,2
19,2
19,2
18,1
18,1
18,1
18,2
18,1
18,1
19,2
19,2
19,1
19,2
19,1
18,1
18,1
18,2
18,2
18,2
18,1
18,1
18,1
20,1
20,1
22,2
22,1
22,1
22,1
19,2
18,2
18,2
18,2
18,1
19,2
18,2
19,2
22,1
22,1
22,1
21,1
21,2
22,2
22,1
18,2
18,1
18,1
19,1
19,1
18,2
19,2
19,1
20,1
20,2
20,1
20,2
20,1
